id,text,question,options,answer,combo_key
6931,Malik said Austin was surprised that Premier Zhou said the Chinese people's government believed that any resolution on China's complaint passed by the Security Council without the participation of representatives of the Chinese people would be illegal.,Who of the following options expresses surprise?,"0. ""Malik"", 1. ""Austin"", 2. ""Premier Zhou"", 3. ""All three expressed surprise""",1,Categorical Reasoning
14726,"Critic: An art historian argues that because fifteenth- century European paintings were generally more planimetric (that is, two-dimensional with no attempt at suggesting depth) than were sixteenth-century paintings, fifteenth-century painters had a greater mastery of painting than did sixteenth-century painters. However, this conclusion is wrong. Fifteenth-century European painters did not have a greater mastery of painting, for the degree to which a painting is planimetric is irrelevant to the painter' s mastery.",The argument is flawed in that it,"0. ""takes a necessary condition for an argument's being inadequate to be a sufficient condition for an argument's being inadequate"", 1. ""rejects a position merely because the proponent of the position has other objectionable views"", 2. ""bases its conclusion on two claims that contradict each other"", 3. ""rejects a position on the grounds that an inadequate argument has been made for it""",3,Categorical Reasoning
13918,"James: Chemists have recently invented a new technique for extracting rhodium, an element necessary for manufacturing catalytic converters for automobiles, from nuclear waste. Catalytic converters function to remove noxious gases from automobile exhaust. The use of nuclear power is ttherefore contributing in at least one way to creating a cleaner environment. Marta: The technique you mention, though effective, is still at an experimental stage, so there has been no shift in the sources of the rhodium currently used in manufacturing catalytic converters.",Marta responds to James's argument by,"0. ""pointing out a fact that James, in drawing his conclusion, did not take into account"", 1. ""indicating that James is assuming the truth of the conclusion that he intends to establish"", 2. ""casting doubt on the accuracy of the claims made by James in support of his conclusion"", 3. ""questioning the credibility of advocates of nuclear power""",0,Categorical Reasoning
13510,"Studies have shown that, contrary to popular belief, middle-aged people have more fear of dying than do elderly people.","Each of the following, if true, contributes to an explanation of the phenomenon shown by the studies EXCEPT:","0. ""The longer one lives, the more imperturbable one becomes."", 1. ""Middle-aged people have more people dependent upon them than people of any other age group."", 2. ""Many people who suffer from depression first become depressed in middle age."", 3. ""The longer one lives, the more likely it is that one has come to terms with dying.""",2,Categorical Reasoning
11255,"Henry: Some scientists explain the dance of honeybees as the means by which honeybees communicate the location of whatever food source they have just visited to other members of the hive. But honeybees do not need so complicated a mechanism to communicate that information. Forager honeybees returning to their hive simply leave a scent trail from the food source they have just visited. There must ttherefore be some other explanation for the honeybees' dance. Winifred: Not necessarily. Most animals have several ways of accomplishing critical tasks. Bees of some species can navigate using either the position of the Sun or the memory of landmarks. Similarly, for honeybees, scent trails are a supplementary not an exclusive means of communicating.",The point at issue between Henry and Winifred is whether,"0. ""there is more than one valid explanation for the dance of the honeybees"", 1. ""the honeybee is the only species of bee that is capable of communicating navigational information to other hive members"", 2. ""honeybees communicate the location of food sources through their dance"", 3. ""theories of animal behavior can be established on the basis of evidence about only one species of animal""",2,Categorical Reasoning
11242,"Psychologists have claimed that many people are more susceptible to psychological problems in the winter than in the summer; the psychologists call this condition seasonal affective disorder. Their claim is based on the results of surveys in which people were asked to recall how they felt at various times in the past. However, it is not clear that people are able to report accurately on their past psychological states. Ttherefore, these survey results do not justify the psychologists' claim that there is any such condition as seasonal affective disorder.",The author criticizes the psychologists' claim by,"0. ""offering an alternative explanation of the variation in the occurrence of psychological problems across seasons"", 1. ""demonstrating that fewer people actually suffer from seasonal affective disorder than psychologists had previously thought"", 2. ""questioning the representativeness of the population sample surveyed by the psychologists"", 3. ""questioning an assumption that the author attributes to the psychologists""",3,Categorical Reasoning
13747,"The temperature in Taychester is always at least 10 degrees lower than the temperature in Chariesville. However, the average resident of Charlesville spends 10 to 20 percent more on winter heating expenses than does the average resident of Taychester.","Each of the following, if true, helps to resolve the apparent paradox described above EXCEPT:","0. ""Heat loss due to wind is less in Taychester than in Charlesville."", 1. ""Houses in colder climates are usually better insulated than houses in warmer climates."", 2. ""Although Chariesville is always fairly warm during the daytime, temperatures in Charlesville drop steeply at night."", 3. ""Utility rates in Taychester are lower than utility rates in Charlesville.""",2,Categorical Reasoning
10669,"Morton: In order to succeed in today' s society, one must have a college degree. Skeptics have objected that there are many people who never completed any education beyond high school but who are nevertheless quite successful. This success is only apparent, however, because without a college degree a person does not have enough education to be truly successful.",Morton's argument is flawed because it,"0. ""mistakes a correlation for a cause"", 1. ""fails to consider the status of alleged counterexamples"", 2. ""assumes what it sets out to conclude"", 3. ""bases its conclusion on the supposition that most people believe in that conclusion""",2,Categorical Reasoning
13616,"Taxpayer: For the last ten years, Metro City' s bridge-maintenance budget of $1 million annually has been a prime example of fiscal irresponsibility. In a well-run bridge program, the city would spend $15 million a year on maintenance, which would prevent severe deterioration, thus limiting capital expenses for needed bridge reconstruction to $10 million. However, as a result of its attempt to economize, the city is now faced with spending $400 million over two years on emergency reconstruction of its bridges.",The main point of the taxpayer's argument is that Metro City,"0. ""should have budgeted substantially more money for maintenance of its bridges"", 1. ""is economizing on its bridge program to save money in case of emergencies"", 2. ""is spending more than it needs to on maintenance of its bridges"", 3. ""would have had a well-run bridge program if it had spent more money for reconstruction of its bridges""",0,Sufficient Conditional Reasoning
2831,"Statistics for the first half of this year show that CPI in Province A fell 1.7% in three consecutive months after a 1.8% month-on-month increase in three months. In the same period, CPI in Province B rose 1.8% in three consecutive months after a 1.7% month-on-month decrease in three consecutive months.","If CPI in December was the same in both provinces, which of the following is not true?","0. ""The CPI of Province A was higher than that of province B in February this year."", 1. ""The CPI of Province A was higher than that of province B in March this year."", 2. ""The CPI of Province A was higher than that of province B in April this year."", 3. ""The CPI of Province A was higher than that of province B in June this year.""",3,Sufficient Conditional Reasoning
